 	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0008233	peptidase activity	17	365	4.66%	6411	2.75%	"YBR012W-B, YCL074W, YDR098C-B, YDR210C-D, YDR261C-D, YER160C, YGL258W-A, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YLR035C-A, YLR227W-B, YOL103W-B, YOR192C-B, YPL060C-A, YPS5"
GO:0016491	oxidoreductase activity	17	365	4.66%	6411	5.43%	"AAD10, AAD15, ALD3, ALD5, BDH2, CTT1, DIT2, DSF1, MDH2, MET10, MET16, PUT1, SER3, URA1, YML131W, YNR073C, YPL276W"
GO:0004518	nuclease activity	17	365	4.66%	6411	2.54%	"RPM2, RPR1, YBR012W-B, YCL074W, YDR098C-B, YDR210C-D, YDR261C-D, YER160C, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YLR035C-A, YLR227W-B, YOL103W-B, YOR192C-B, YPL060C-A"
GO:0016779	nucleotidyltransferase activity	15	365	4.11%	6411	2.06%	"YBR012W-B, YCL074W, YDR098C-B, YDR210C-D, YDR261C-D, YER160C, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YLR035C-A, YLR227W-B, YOL103W-B, YOR192C-B, YPL060C-A"
GO:0030234	enzyme regulator activity	11	365	3.01%	6411	4.48%	"AMA1, APJ1, CLB6, FES1, HUG1, PAI3, PCL5, REG2, SSE2, YBR296C-A, YJL144W"
GO:0016829	lyase activity	10	365	2.74%	6411	1.70%	"CHA1, DAL3, ERR2, ERR3, HSP33, ILV3, IRC7, NCE103, PDC5, PDC6"
GO:0005198	structural molecule activity	9	365	2.47%	6411	1.97%	"DAN1, PAU11, PAU13, PAU15, PAU17, PAU20, PAU8, PAU9, SPI1"
GO:0003700	DNA-binding transcription factor activity	7	365	1.92%	6411	2.81%	"DAL80, HMS1, MET28, MGA1, SIP4, XBP1, YFL052W"
GO:0016301	kinase activity	7	365	1.92%	6411	3.53%	"FMP48, MET14, PRR2, RCK1, SPS1, YMR291W, YPK2"
GO:0003729	mRNA binding	4	365	1.10%	6411	3.20%	"HSP26, MIP6, PES4, TIS11"
GO:0051082	unfolded protein binding	3	365	0.82%	6411	1.26%	"APJ1, HSP26, HSP42"
GO:0016874	ligase activity	3	365	0.82%	6411	1.92%	"ARG1, BIO3, BIO4"
GO:0004386	helicase activity	2	365	0.55%	6411	1.72%	"YJL225C, YRF1-2"
GO:0003682	chromatin binding	2	365	0.55%	6411	2.07%	"CDC6, YOR338W"
GO:0016791	phosphatase activity	2	365	0.55%	6411	1.75%	"PHM8, PTP2"
GO:0016798	"hydrolase activity, acting on glycosyl bonds"	2	365	0.55%	6411	0.94%	"MAL12, MAL32"
GO:0003735	structural constituent of ribosome	1	365	0.27%	6411	3.70%	RPL39
GO:0005085	guanyl-nucleotide exchange factor activity	1	365	0.27%	6411	0.86%	YLL017W
GO:0016887	ATPase activity	1	365	0.27%	6411	3.35%	CDC6
GO:0016757	"transferase activity, transferring glycosyl groups"	1	365	0.27%	6411	1.61%	GSY1
GO:0008168	methyltransferase activity	1	365	0.27%	6411	1.51%	TMT1
GO:0008135	"translation factor activity, RNA binding"	1	365	0.27%	6411	0.89%	ANB1
GO:0030674	protein-macromolecule adaptor activity	1	365	0.27%	6411	2.07%	CSM4
GO:0008092	cytoskeletal protein binding	1	365	0.27%	6411	1.81%	AFR1
GO:0003924	GTPase activity	1	365	0.27%	6411	1.31%	CDC6
GO:0008134	transcription factor binding	1	365	0.27%	6411	1.40%	MET28
GO:0019899	enzyme binding	1	365	0.27%	6411	2.92%	SNA3
GO:0008289	lipid binding	1	365	0.27%	6411	2.14%	SIP18
