GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0000902	cell morphogenesis	4	365	1.10%	6438	0.71%	"AFR1, FIG1, HBT1, YPK2"
GO:0000278	mitotic cell cycle	4	365	1.10%	6438	5.93%	"CDC6, CLB6, RCK1, SRL3"
GO:0007059	chromosome segregation	4	365	1.10%	6438	3.48%	"AMA1, CSM4, FMP48, HOP2"
GO:0006974	cellular response to DNA damage stimulus	4	365	1.10%	6438	3.53%	"DDR2, HSP30, HUG1, RCK1"
GO:0006605	protein targeting	3	365	0.82%	6438	3.96%	"MDH2, YLR099W-A, YNR066C"
GO:0043543	protein acylation	3	365	0.82%	6438	1.26%	"HPA3, YIR042C, YOR338W"
GO:0006397	mRNA processing	3	365	0.82%	6438	3.43%	"IST3, LSM8, RPM2"
GO:0002181	cytoplasmic translation	3	365	0.82%	6438	3.20%	"RPL39, RPM2, SUP17"
GO:0016197	endosomal transport	3	365	0.82%	6438	1.82%	"BTN2, COS4, SNA3"
GO:0042274	ribosomal small subunit biogenesis	3	365	0.82%	6438	2.30%	"SNR128, SNR17A, SNR17B"
GO:0016570	histone modification	3	365	0.82%	6438	2.25%	"HPA3, XBP1, YOR338W"
GO:0045333	cellular respiration	3	365	0.82%	6438	1.71%	"DAL7, MDH2, YJR120W"
GO:0007005	mitochondrion organization	3	365	0.82%	6438	4.44%	"RPM2, YJR120W, YLR099W-A"
GO:0007124	pseudohyphal growth	3	365	0.82%	6438	1.15%	"HMS1, MEP2, MGA1"
GO:0070647	protein modification by small protein conjugation or removal	3	365	0.82%	6438	3.45%	"AMA1, APJ1, YBR296C-A"
GO:0006629	lipid metabolic process	3	365	0.82%	6438	5.37%	"CRC1, OPI10, SRT1"
GO:0008033	tRNA processing	3	365	0.82%	6438	2.08%	"LSM8, RPM2, RPR1"
GO:0051052	regulation of DNA metabolic process	2	365	0.55%	6438	1.49%	"CDC6, CSM4"
GO:0006869	lipid transport	2	365	0.55%	6438	1.18%	"DAN1, YJR120W"
GO:0008380	RNA splicing	2	365	0.55%	6438	2.38%	"IST3, LSM8"
GO:0006281	DNA repair	2	365	0.55%	6438	4.68%	"ECM11, HUG1"
GO:0006897	endocytosis	2	365	0.55%	6438	2.10%	"FMP45, YNL194C"
GO:0007033	vacuole organization	2	365	0.55%	6438	1.72%	"ERR2, ERR3"
GO:0006325	chromatin organization	2	365	0.55%	6438	4.77%	"CDC6, YOR338W"
GO:0048193	Golgi vesicle transport	2	365	0.55%	6438	3.20%	"YET2, YNR066C"
GO:0006873	cellular ion homeostasis	2	365	0.55%	6438	2.49%	"SIT1, TIS11"
GO:0006260	DNA replication	2	365	0.55%	6438	2.35%	"CDC6, CLB6"
GO:0006970	response to osmotic stress	2	365	0.55%	6438	1.10%	"HSP30, HSP42"
GO:0048284	organelle fusion	2	365	0.55%	6438	1.71%	"ERR2, ERR3"
GO:0006470	protein dephosphorylation	2	365	0.55%	6438	1.52%	"PTP2, REG2"
GO:0001403	invasive growth in response to glucose limitation	1	365	0.27%	6438	0.84%	SIP4
GO:0043144	snoRNA processing	1	365	0.27%	6438	0.71%	RPR1
GO:0015931	nucleobase-containing compound transport	1	365	0.27%	6438	2.81%	IST3
GO:0061025	membrane fusion	1	365	0.27%	6438	0.92%	FIG1
GO:0032543	mitochondrial translation	1	365	0.27%	6438	2.72%	TK(CUU)K
GO:0051604	protein maturation	1	365	0.27%	6438	1.49%	YIR042C
GO:0006486	protein glycosylation	1	365	0.27%	6438	1.21%	SRT1
GO:0007031	peroxisome organization	1	365	0.27%	6438	0.81%	MDH2
GO:0032200	telomere organization	1	365	0.27%	6438	1.41%	YRF1-2
GO:0006401	RNA catabolic process	1	365	0.27%	6438	2.58%	TIS11
